HPAI Strains,Country,State: County,Specy_common_name,epi_event_id,Earliest outbreak report date,Latest outbreak report date,Collection Date,Number of outbreaks reported,WOAH Classification,Sampling Method,Submitting Agency,More information
H5N1,United States of America,?,Lion,4451,17/01/2025,17/01/2025,,1,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Mephitidae (unidentified),4451,26/04/2024,26/04/2024,,1,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,North American river otter,4451,3/3/23,23/03/2023,,1,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Polar Bear,4451,19/12/2023,21/12/2024,,2,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Prairie Vole,4451,2/8/24,2/8/24,,1,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Puma,4451,13/01/2023,17/01/2025,,25,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Racoon (Northern raccoon),4451,17/06/2022,10/1/25,,17,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Red Fox,4451,10/5/22,7/2/25,,78,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Serval,4451,3/1/25,24/01/2025,,3,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Striped Skunk,4451,5/7/22,30/08/2024,,31,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Swine,4451,1/11/24,1/11/24,,1,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Tiger,4451,13/01/2023,3/1/25,,5,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Virginia Opossum,4451,17/06/2022,10/5/24,,4,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Western deer mouse,4451,2/8/24,2/8/24,,1,?,?,?,https://wahis.woah.org/#/in-event/4451/dashboard
H5N1,United States of America,?,Black dolphin,?,3/5/23,3/5/23,,1,?,?,?,https://www.woah.org/en/?post_type=document&p=107690&preview=true&aiEnableCheckShortcode=true
H5N1,United States of America,?,Burmeister's porpoise,?,3/5/23,3/5/23,,1,?,?,?,https://www.woah.org/en/?post_type=document&p=107690&preview=true&aiEnableCheckShortcode=true
H5N1,United States of America,?,Harbour seal (Common seal),?,25/09/2023,25/09/2023,,1,?,?,?,https://www.woah.org/en/document/report-of-hpai-h5n1-in-harbor-seals-in-denmark/
H5N1,United States of America,?,Cat,?,7/6/24,7/6/24,,1,?,?,?,https://www.woah.org/en/document/hpai-in-a-cat-in-hungary/
H5N1,United States of America,?,Dolphin,?,7/2/23,7/2/23,,1,?,?,?,https://www.woah.org/en/document/mortality-in-mammals-peru/?aiEnableCheckShortcode=true
H5N1,United States of America,?,Lion,?,7/2/23,7/2/23,,1,?,?,?,https://www.woah.org/en/document/mortality-in-mammals-peru/?aiEnableCheckShortcode=true
H5N1,United States of America,?,Sea lion,?,7/2/23,7/2/23,,1,?,?,?,https://www.woah.org/en/document/mortality-in-mammals-peru/?aiEnableCheckShortcode=true
H5N1,United States of America,?,Cat,?,12/7/23,12/7/23,,1,?,?,?,https://www.woah.org/en/document/a-h5n1-infections-in-cats-in-poland/
H5N1,United States of America,?,Antarctic fur seal,?,13/01/2024,13/01/2024,,1,?,?,?,https://www.woah.org/en/document/notification-of-further-positive-hpai-results-in-wild-mammalian-species-uk-december-2023/
H5N1,United States of America,?,Southern elephant seal,?,13/01/2024,13/01/2024,,1,?,?,?,https://www.woah.org/en/document/notification-of-further-positive-hpai-results-in-wild-mammalian-species-uk-december-2023/
H5N1,United States of America,?,Mink,?,21/10/2022,21/10/2022,,1,?,?,?,https://www.woah.org/en/document/hpai-h5n1-detection-in-mink-farm-in-spain/
H5N1,United States of America,?,Fox,?,9/8/23,15/01/2024,,2,?,?,?,https://www.woah.org/en/document/h5n1-in-a-wild-red-fox-in-sweden-august-2023/
H5N1,United States of America,?,Otter,?,23/05/2024,23/05/2024,,1,?,?,?,https://www.woah.org/en/document/notification-of-hpai-in-a-wild-animal-sweden-may-2024/
H5N1,United States of America,?,Common dolphin,?,23/03/2023,23/03/2023,,1,?,?,?,https://www.woah.org/en/?post_type=document&p=104104&preview=true&aiEnableCheckShortcode=true
H5N1,United States of America,?,Fox,?,20/12/2022,7/8/23,,4,?,?,?,https://www.woah.org/en/?post_type=document&p=104104&preview=true&aiEnableCheckShortcode=true
H5N1,United States of America,?,Grey seal,?,9/2/23,23/03/2023,,2,?,?,?,https://www.woah.org/en/?post_type=document&p=104104&preview=true&aiEnableCheckShortcode=true
H5N1,United States of America,?,Harbour seal (Common seal),?,9/2/23,9/2/23,,1,?,?,?,?
H5N1,United States of America,?,Other,?,20/12/2022,20/12/2022,,1,?,?,?,https://www.woah.org/en/document/notification-of-positive-hpai-results-in-wild-mammalian-species-in-the-uk/
H5N1,United States of America,?,Otter,?,3/10/23,26/10/2023,,3,?,?,?,https://www.woah.org/en/document/notification-of-further-positive-hpai-results-in-wild-mammalian-species-uk-10-october-2023/
H5N1,United States of America,?,South American bush dog,?,16/03/2023,16/03/2023,,1,?,?,?,https://www.woah.org/en/document/notification-of-positive-hpai-results-in-captive-wild-mammals-uk/
H5N5,United States of America,?,Grey seal,?,15/02/2025,15/02/2025,,1,?,?,?,?
H5NX,United States of America,?,Grey seal,?,23/03/2023,23/03/2023,,1,?,?,?,https://www.woah.org/en/?post_type=document&p=104104&preview=true&aiEnableCheckShortcode=true
H5NX,United States of America,?,Harbour porpoise,?,23/03/2023,23/03/2023,,1,?,?,?,https://www.woah.org/en/?post_type=document&p=104104&preview=true&aiEnableCheckShortcode=true
EA H5N1,United States of America,South Carolina: Colleton,American wigeon,?,1/13/22,?,12/30/21,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/13/22,?,12/30/21,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Hyde,Northern shoveler,?,1/12/22,?,12/30/21,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Hyde,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Gadwall,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Gadwall,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Mallard,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Gadwall,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Northern pintail,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Northern pintail,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Northern pintail,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Gadwall,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Mallard,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Northern shoveler,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Gadwall,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Gadwall,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,1/20/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Beaufort,American wigeon,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Beaufort,Gadwall,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Beaufort,American wigeon,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Beaufort,American wigeon,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Beaufort,American wigeon,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Beaufort,American wigeon,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Beaufort,American wigeon,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Green-winged teal,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Gadwall,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Gadwall,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Gadwall,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Gadwall,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Gadwall,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Gadwall,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Gadwall,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,American wigeon,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,American wigeon,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,American wigeon,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,American wigeon,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,American wigeon,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,American wigeon,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Northern shoveler,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Gadwall,?,1/26/22,?,1/15/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Virginia: Henrico,Green-winged teal,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Virginia: Henrico,Mallard,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Gadwall,?,1/12/22,?,12/30/21,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Northern shoveler,?,1/16/22,?,1/1/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Gadwall,?,1/16/22,?,1/1/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Beaufort,American wigeon,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Beaufort,American wigeon,?,1/26/22,?,1/8/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,South Carolina: Colleton,Blue-winged teal,?,1/26/22,?,1/6/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Gadwall,?,2/1/22,?,1/15/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Gadwall,?,2/1/22,?,1/15/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Wood duck,?,2/1/22,?,1/15/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/1/22,?,1/15/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Beaufort,Green-winged teal,?,2/1/22,?,1/15/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Beaufort,American wigeon,?,2/1/22,?,1/15/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Beaufort,American wigeon,?,2/1/22,?,1/15/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,Virginia: Virginia Beach,Green-winged teal,?,2/1/22,?,1/21/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Florida: Palm Beach,Blue-winged teal,?,2/1/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Florida: Palm Beach,Blue-winged teal,?,2/1/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,Maryland: Kent,Lesser scaup,?,2/2/22,?,1/23/22,?,Wild bird,Live bird,USGS/SCWDS,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5N1,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5N1,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5N1,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,New Hampshire: Rockingham,Mallard,?,2/9/22,?,1/26/22,?,Wild bird,Live bird,NWDP,?
EA H5N1,United States of America,Delaware: Kent,American wigeon,?,2/9/22,?,1/27/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Delaware: Kent,Northern shoveler,?,2/9/22,?,1/27/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Delaware: Kent,Northern shoveler,?,2/9/22,?,1/27/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Bladen,Mallard,?,2/8/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Bladen,Green-winged teal,?,2/8/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Green-winged teal,?,2/8/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Green-winged teal,?,2/8/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Hyde,Green-winged teal,?,2/8/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Gadwall,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Bladen,Mallard,?,2/8/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Bladen,Gadwall,?,2/8/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/26/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,American wigeon,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Gadwall,?,2/8/22,?,1/22/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,Delaware: Kent,Northern shoveler,?,2/16/22,?,1/31/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Delaware: Kent,American black duck,?,2/16/22,?,1/27/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Delaware: Kent,Gadwall,?,2/16/22,?,1/31/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Delaware: Kent,Northern shoveler,?,2/16/22,?,1/31/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,Delaware: Kent,Northern shoveler,?,2/16/22,?,1/28/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,American wigeon,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Northern pintail,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Hyde,Green-winged teal,?,2/16/22,?,2/5/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Hyde,Mallard,?,2/16/22,?,2/5/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5,United States of America,North Carolina: Pamlico,Green-winged teal,?,2/16/22,?,1/29/22,?,Wild bird,Hunter harvest,NWDP,?
EA H5N1,United States of America,North Carolina: Currituck,Mallard,?,2/16/22,?,2/1/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,North Carolina: Currituck,Mallard,?,2/16/22,?,2/1/22,?,Wild bird,Live bird,NWDP,?
EA H5N1,United States of America,North Carolina: Currituck,Mallard,?,2/16/22,?,2/1/22,?,Wild bird,Live bird,NWDP,?
EA H5N1,United States of America,North Carolina: Currituck,Mallard,?,2/16/22,?,2/1/22,?,Wild bird,Live bird,NWDP,?
EA H5N1,United States of America,North Carolina: Currituck,Mallard,?,2/16/22,?,2/1/22,?,Wild bird,Live bird,NWDP,?
EA H5N1,United States of America,North Carolina: Currituck,Mallard,?,2/16/22,?,2/1/22,?,Wild bird,Live bird,NWDP,?
EA H5,United States of America,North Carolina: Currituck,Mallard,?,2/16/22,?,2/1/22,?,Wild bird,Live bird,NWDP,?
